DistrictNumber,DistrictName,PnaDistrict,PssDistrict,ScheduleDataFlag,ExModelRetentionFlag,ZoneNumberRef,
1,ALAMITOS,Yes,Yes,Yes,NULL,1,
2,ANTELOPE,Yes,Yes,Yes,NULL,2,
3,BAILEY,Yes,Yes,Yes,NULL,3,
4,BARRE,Yes,Yes,Yes,NULL,4,
5,CDWR,Yes,Yes,Yes,NULL,5,
6,CENTER,Yes,Yes,Yes,NULL,6,
7,CHEVMAIN,Yes,Yes,Yes,NULL,7,
8,CHINO,Yes,Yes,Yes,NULL,8,
9,DEL AMO,Yes,Yes,Yes,NULL,9,
10,DEVERS,Yes,Yes,Yes,NULL,10,
11,DEVERS BULK,Yes,Yes,Yes,NULL,11,
12,EAGLE ROCK,Yes,Yes,Yes,NULL,12,
13,EL CASCO,Yes,Yes,Yes,NULL,13,
14,EL NIDO,Yes,Yes,Yes,NULL,14,
15,ELDORADO,Yes,Yes,Yes,NULL,15,
16,ELLIS,Yes,Yes,Yes,NULL,16,
17,ETIWANDA,Yes,Yes,Yes,NULL,17,
18,GOLETA,Yes,Yes,Yes,NULL,18,
19,GOULD,Yes,Yes,Yes,NULL,19,
20,HINSON,Yes,Yes,Yes,NULL,20,
21,JOHANNA,Yes,Yes,Yes,NULL,21,
22,KRAMER,Yes,Yes,Yes,NULL,22,
23,KRAMER BULK,Yes,Yes,Yes,NULL,23,
24,LA CIENEGA,Yes,Yes,Yes,NULL,24,
25,LA FRESA,Yes,Yes,Yes,NULL,25,
26,LAGUNA BELL,Yes,Yes,Yes,NULL,26,
27,LEWIS,Yes,Yes,Yes,NULL,27,
28,LIGHTHIPE,Yes,Yes,Yes,NULL,28,
29,MESA,Yes,Yes,Yes,NULL,29,
30,MIRA LOMA,Yes,Yes,Yes,NULL,30,
31,MIRAGE,Yes,Yes,Yes,NULL,31,
32,MOORPARK,Yes,Yes,Yes,NULL,32,
33,MWD,Yes,Yes,Yes,NULL,33,
34,OLINDA,Yes,Yes,Yes,NULL,34,
35,PADUA,Yes,Yes,Yes,NULL,35,
36,RECTOR,Yes,Yes,Yes,NULL,36,
37,RIO HONDO,Yes,Yes,Yes,NULL,37,
38,SAN BERNARDINO,Yes,Yes,Yes,NULL,38,
39,SANTA CLARA,Yes,Yes,Yes,NULL,39,
40,SANTIAGO,Yes,Yes,Yes,NULL,40,
41,SAUGUS,Yes,Yes,Yes,NULL,41,
42,SJV BULK,Yes,Yes,Yes,NULL,42,
43,SOM BULK,Yes,Yes,Yes,NULL,43,
44,SPRINGVILLE,Yes,Yes,Yes,NULL,44,
45,VALLEY,Yes,Yes,Yes,NULL,45,
46,VESTAL,Yes,Yes,Yes,NULL,46,
47,VICTOR,Yes,Yes,Yes,NULL,47,
48,VIEJO,Yes,Yes,Yes,NULL,48,
49,VILLA PARK,Yes,Yes,Yes,NULL,49,
50,VISTA,Yes,Yes,Yes,NULL,50,
51,WALNUT,Yes,Yes,Yes,NULL,51,
52,WINDHUB,Yes,Yes,Yes,NULL,52,
53,WINDHUB BULK,Yes,Yes,Yes,NULL,53,
61,WAPA,Yes,Yes,Yes,NULL,61,
62,PGAE,Yes,Yes,Yes,NULL,62,
63,PCTIE,Yes,Yes,Yes,NULL,63,
64,LDWP,Yes,Yes,Yes,NULL,64,
65,ARIZONA,Yes,Yes,Yes,NULL,65,
66,NEVADA,Yes,Yes,Yes,NULL,66,
67,SDGE,Yes,Yes,Yes,NULL,67,
68,PASA,Yes,Yes,Yes,NULL,68,
69,IID,Yes,Yes,Yes,NULL,69,
70,SPP,Yes,Yes,Yes,NULL,70,
