PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef
57,GISLER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5851,16
79,TELEGRAPH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5892,34
119,CHESTNUT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5861,21
122,FAIRVIEW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5821,21
123,CAMDEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5826,21
124,CABRILLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5879,21
125,JOHANNA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5085,21
155,ROLLING_HILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5252,25
197,LIGHTHIPE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5073,28
231,SAWTELLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5250,24
245,STATE_STREET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5755,20
289,VICTOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8049,47
304,CASA_DIABLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2557,22
312,INYOKERN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5041,22
316,GALE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8283,22
332,HIGHLAND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5619,38
347,HI_DESERT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8029,10
349,DEVERS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5067,10
358,NELSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8038,45
361,SKYLARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8088,45
368,CAJALCO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8086,45
371,ALESSANDRO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8024,45
378,BLYTHE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8048,33
430,NIGUEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5896,40
431,MOULTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5845,40
432,MORRO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5836,40
433,MACARTHUR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5874,40
435,IRVINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5829,40
436,UNIVERSITY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8817,40
439,CHIP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8805,40
440,BORREGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5887,40
442,SANTIAGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5088,40
443,CROWN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5818,40
481,MIRA_LOMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5069,30
524,HASKELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5594,41
556,SANTA_BARBARA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5531,18
647,MESA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5012,29
668,HANFORD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5310,36
670,RECTOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5033,36
706,ARBORS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5662,17
787,LAS_LOMAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5902,40
921,BLYTHE_CITY,No,Yes,NULL,Inside,Yes,NULL,Yes,8113,33
973,EDINGER,No,Yes,NULL,Inside,Yes,NULL,Yes,5875,1
1402,CAMP_10,No,No,NULL,Inside,Yes,NULL,Yes,6116,36
