BUSNAME,BUSNUMBER
EL NIDO 220,167
ALAMITOS 66,2
DEL AMO 220,40
DEL AMO A 66,41
ELLIS 66,67
RECOVERY 66,78
VILLA PARK 220,85
OLINDA A 66,103
IMPERIAL 12,122
IMPERIAL 4,123
LEWIS 220,137
WALNUT 220,139
WALNUT 66,140
COLORADO 16,327
HINSON 220,346
ELDORADO 500,420
MIR LOMA 12,431
KRAMER 220,432
LAGUNA BELL 220,289
LAG BELL 16,291
EL CASCO,300
LENNOX 16,181
LENNOX 4,182
LA FRESA 220,199
WALTERIA 16,235
YUKON 16,238
YUKON 4,239
LIGHTHIPE 66,241
LA CIENEG 66,321
CHINO 220,576
ETIWANDA 66,612
SONGS 220,637
VIEJO 220,657
VISTA 66,661
PADUA 220,689
DEVERS 220,502
MIRAGE 220,534
VALLEY 500,537
VALLEY 12,540
MORWIND 66,874
GOULD A 66,892
VINCENT 220,897
RECTOR 220,946
RECTOR 66,947
BUCK BLVD,810
MIR LOMA 500,708
MIRA LOMA 220,709
MIR LOMA 66,710
SN CLARA 66,722
KIMBALL 12,1093
BARRE C 66,1116
MODENA 12,1125
IMPERIAL VALLEY 220,1210
FLOWIND 66,1245
CANWIND 66,1246
ENWIND 66,1247
RED BLUFF 500,1306
COLORADO R 220,1311
PRIMM 220,1460
LAKEVIEW 115,1473
DUTCHWIN 66,1244
WHIRLWIND 500,1258
MCGRATH 66,1273
GRAPELAND 66,2022
LIMESTONE 12,2036
AULD 12,1522
ETIWANDA 12,1535
SANTIAGO 12,1536
QUARTZ H 12,1548
BASTA 4,3089
BLYTHE C 12,3201
LA CANADA 16,3237
NOGALES 12,3240
RDALE 16,3254
SOQUEL 12,3256
ARROYO 16,3008
THOS OAKS 16,3041
LA HABRA 12,3312
BRADBURY 16,3403
LARK ELLEN 12,3411
NARROWS 12,3413
SHANDIN 12,3428
VEGAS 16,3575
WRIGHTWOOD 12,3436
BREA 12,3464
BORREGO 12,3286
CHIQUITA 12,3293
STETSON 12,3304
BEDFORD 16,4302
WALNUT 12,4012
CHASE 12,4103
ELIZABETH 16,4136
NORTHOAKS 16,4138
VICTOLVL 4,4160
COLONIA 16,4211
SKIP 13 GEN NO.2,1046
SKIP 13 GEN NO.1,788
